PGM_SYS_ID,YEAR,GROUP,MEAN_VIOL_TO_EA_LAG_DAYS,LAG_QUARTILE,N_VIOLATIONS_FUTURE
AL0000000100100001,2023,other,75,Q2,0
AL0000000100300048,2022,other,0,Q1 (fastest),1
AL0000000100300048,2023,other,0,Q1 (fastest),1
AL0000000100300048,2024,other,99.5,Q3,0
AL000000010050S008,2019,other,105,Q3,0
AL000000010130S001,2017,other,99,Q3,0
AL0000000101500005,2021,other,0,Q1 (fastest),0
AL0000000101500005,2024,other,0,Q1 (fastest),0
AL0000000101500007,2023,other,63.5,Q2,0
AL0000000101500009,2019,other,0,Q1 (fastest),0
AL0000000101500039,2021,other,0,Q1 (fastest),0
AL0000000101500079,2023,other,119.67,Q3,2
AL0000000101500079,2024,other,113,Q3,2
AL0000000101700011,2022,other,121.5,Q3,1
AL0000000101700011,2023,other,0,Q1 (fastest),0
AL0000000101700018,2023,other,0,Q1 (fastest),1
AL0000000101700018,2024,other,153,Q3,1
AL000000010170S003,2024,other,91,Q2,0
AL0000000101900001,2022,other,0,Q1 (fastest),0
AL0000000102100017,2022,other,68,Q2,0
AL0000000102300001,2019,other,61,Q2,0
AL0000000102300001,2023,other,73.5,Q2,1
AL0000000102300001,2024,other,75,Q2,0
AL0000000102300019,2023,other,96.5,Q3,0
AL000000010250S003,2018,other,88,Q2,0
AL000000010250S003,2021,other,74.5,Q2,0
AL000000010250S004,2022,other,202.5,Q3,0
AL0000000103100017,2024,other,159.5,Q3,1
AL0000000103300002,2018,other,110.5,Q3,0
AL0000000103300007,2017,other,97.5,Q3,0
AL0000000103300007,2021,other,194,Q3,1
AL0000000103300007,2022,other,0,Q1 (fastest),2
AL0000000103300007,2023,other,83.33,Q2,0
AL0000000103300013,2024,other,0,Q1 (fastest),0
AL0000000103300062,2021,other,151,Q3,1
AL0000000103300062,2022,other,276.5,Q4 (slowest),0
AL0000000103500011,2020,other,68,Q2,0
AL0000000103500021,2019,other,82.5,Q2,0
AL0000000103500042,2024,other,81.5,Q2,0
AL0000000104700001,2022,other,0,Q1 (fastest),0
AL0000000104700003,2021,other,40,Q2,1
AL0000000104700003,2022,other,67.5,Q2,1
AL0000000104700003,2023,other,63,Q2,0
AL0000000104700005,2024,other,0,Q1 (fastest),1
AL0000000104900041,2019,other,82,Q2,0
AL0000000104900041,2021,other,0,Q1 (fastest),0
AL0000000104900048,2019,other,78,Q2,0
AL0000000105100006,2019,other,0,Q1 (fastest),0
AL0000000105300001,2016,other,140,Q3,0
AL0000000105300007,2021,other,0,Q1 (fastest),2
AL0000000105300007,2022,other,74.67,Q2,1
AL0000000105300007,2023,other,103.5,Q3,0
AL0000000105300011,2020,other,174.5,Q3,0
AL0000000105300011,2022,other,150,Q3,0
AL000000010530S002,2019,other,0,Q1 (fastest),0
AL0000000105900013,2018,other,77.5,Q2,0
AL0000000105900027,2018,other,0,Q1 (fastest),0
AL0000000106900021,2021,electric,102,Q3,0
AL0000000107100030,2020,other,107.5,Q3,0
AL0000000107100041,2024,other,0,Q1 (fastest),0
AL0000000107100044,2019,other,154.5,Q3,1
AL0000000107100044,2020,other,127,Q3,1
AL0000000107100044,2021,other,0,Q1 (fastest),0
AL0000000107500010,2017,other,0,Q1 (fastest),1
AL0000000107500010,2018,other,0,Q1 (fastest),0
AL0000000107700004,2016,other,81,Q2,0
AL0000000107700004,2023,other,94.5,Q3,0
AL0000000107700031,2022,other,94.5,Q3,0
AL0000000108500008,2019,other,0,Q1 (fastest),0
AL0000000108500008,2022,other,0,Q1 (fastest),0
AL0000000109100001,2023,other,73.5,Q2,0
AL0000000109100002,2020,other,97,Q3,1
AL0000000109100002,2021,other,69,Q2,1
AL0000000109100002,2022,other,77,Q2,1
AL0000000109100002,2023,other,335,Q4 (slowest),0
AL000000010910S002,2019,other,72,Q2,0
AL0000000109300004,2021,other,54,Q2,0
AL0000000109300019,2023,other,112,Q3,0
AL0000000109300024,2019,other,72,Q2,0
AL0000000109500002,2022,other,0,Q1 (fastest),0
AL0000000109500066,2023,other,0,Q1 (fastest),0
AL0000000109700010,2024,other,209,Q3,0
AL0000000109700013,2024,other,133.5,Q3,0
AL0000000109700095,2017,other,90,Q2,0
AL0000000109700095,2024,other,0,Q1 (fastest),1
AL0000000109700096,2024,other,0,Q1 (fastest),0
AL0000000109700106,2021,other,0,Q1 (fastest),0
AL0000000109700107,2023,other,186,Q3,0
AL0000000109700126,2024,other,0,Q1 (fastest),0
AL0000000109700139,2018,other,0,Q1 (fastest),0
AL0000000109701001,2020,electric,80.5,Q2,1
AL0000000109701001,2021,electric,81.5,Q2,0
AL0000000109702003,2023,other,118.5,Q3,1
AL0000000109702003,2024,other,105,Q3,0
AL0000000109703006,2018,other,0,Q1 (fastest),0
AL0000000109704004,2019,other,51.33,Q2,0
AL0000000109704017,2018,other,0,Q1 (fastest),0
AL0000000109705001,2020,other,0,Q1 (fastest),0
AL0000000109705009,2021,other,75,Q2,0
AL0000000109705011,2019,other,83,Q2,0
AL0000000109705011,2022,other,179,Q3,1
AL0000000109705011,2023,other,123.5,Q3,0
AL0000000109705017,2020,other,57.5,Q2,0
AL0000000109705017,2022,other,0,Q1 (fastest),0
AL0000000109708026,2019,other,186,Q3,0
AL0000000109708026,2021,other,124.5,Q3,0
AL0000000109708026,2023,other,0,Q1 (fastest),1
AL0000000109708026,2024,other,0,Q1 (fastest),1
AL0000000109708042,2018,other,0,Q1 (fastest),0
AL0000000109708065,2023,other,270,Q4 (slowest),1
AL0000000109708065,2024,other,0,Q1 (fastest),1
AL0000000109708069,2016,other,61,Q2,0
AL0000000109708069,2023,other,69.5,Q2,0
AL000000010970S002,2024,other,0,Q1 (fastest),0
AL0000000109900010,2016,other,58,Q2,0
AL0000000109900010,2020,other,0,Q1 (fastest),1
AL0000000109900010,2021,other,68,Q2,0
AL0000000109900030,2019,other,0,Q1 (fastest),0
AL0000000109900030,2023,other,109,Q3,0
AL000000010990S009,2018,other,63,Q2,0
AL0000000110100011,2021,other,89.5,Q2,0
AL0000000110100090,2020,other,124,Q3,0
AL0000000110300009,2017,other,28.5,Q2,0
AL0000000110300010,2017,other,0,Q1 (fastest),0
AL0000000110300026,2019,other,223,Q3,0
AL0000000110300026,2023,other,0,Q1 (fastest),0
AL0000000110300033,2020,other,93,Q3,0
AL0000000110300037,2020,other,0,Q1 (fastest),0
AL0000000110300037,2022,other,0,Q1 (fastest),0
AL0000000110300039,2018,other,0,Q1 (fastest),0
AL0000000110300061,2020,other,0,Q1 (fastest),0
AL0000000110300081,2023,other,0,Q1 (fastest),0
AL0000000110300097,2023,other,0,Q1 (fastest),0
AL0000000110300101,2018,other,0,Q1 (fastest),0
AL0000000110300101,2024,other,0,Q1 (fastest),0
AL0000000110300104,2022,other,88.5,Q2,0
AL0000000110700010,2021,other,77.5,Q2,0
AL0000000110900003,2023,other,123,Q3,0
AL0000000110900005,2020,other,0,Q1 (fastest),1
AL0000000110900005,2021,other,0,Q1 (fastest),0
AL0000000110900005,2024,other,118,Q3,1
AL000000011090S006,2019,other,0,Q1 (fastest),0
AL0000000111100016,2017,other,118,Q3,0
AL0000000111300003,2019,other,0,Q1 (fastest),0
AL0000000111300020,2022,other,0,Q1 (fastest),0
AL0000000111500002,2020,other,87.5,Q2,0
AL0000000111500002,2022,other,0,Q1 (fastest),1
AL0000000111500002,2023,other,116,Q3,2
AL0000000111500002,2024,other,90.33,Q2,0
AL0000000111500015,2020,other,79,Q2,0
AL0000000111500035,2024,other,0,Q1 (fastest),1
AL0000000111500041,2020,other,191,Q3,0
AL0000000111700002,2017,other,0,Q1 (fastest),0
AL0000000111700002,2022,other,113,Q3,0
AL0000000111700008,2018,other,0,Q1 (fastest),0
AL0000000111700008,2022,other,76,Q2,0
AL0000000111700031,2017,other,0,Q1 (fastest),0
AL0000000111700039,2017,other,0,Q1 (fastest),0
AL0000000111700039,2024,other,0,Q1 (fastest),0
AL0000000111700054,2016,other,87.5,Q2,0
AL0000000111700074,2022,other,69,Q2,0
AL000000011170S001,2023,other,0,Q1 (fastest),0
AL0000000111900005,2018,other,95.5,Q3,0
AL0000000112100006,2017,other,170,Q3,0
AL0000000112100006,2023,other,0,Q1 (fastest),0
AL0000000112100030,2017,other,67,Q2,0
AL0000000112100030,2022,other,0,Q1 (fastest),0
AL0000000112100049,2019,other,23,Q2,0
AL0000000112100050,2017,other,90,Q2,1
AL0000000112100050,2018,other,0,Q1 (fastest),0
AL0000000112100050,2023,other,195,Q3,0
AL0000000112300022,2017,electric,147,Q3,0
AL0000000112500033,2018,other,0,Q1 (fastest),0
AL0000000112500065,2018,other,0,Q1 (fastest),0
AL0000000112500086,2018,other,0,Q1 (fastest),0
AL0000000112500107,2020,other,0,Q1 (fastest),0
AL0000000112500113,2019,other,0,Q1 (fastest),0
AL0000000112500113,2024,other,0,Q1 (fastest),0
AL0000000112500118,2020,other,0,Q1 (fastest),0
AL0000000112500122,2021,other,133.5,Q3,1
AL0000000112900003,2019,other,178,Q3,0
AL0000000112900009,2018,other,94,Q3,1
AL0000000112900009,2019,other,140,Q3,0
AL0000000112900011,2021,other,124,Q3,0
AL0000000112900022,2018,other,0,Q1 (fastest),0
AL0000000112900027,2021,other,130.5,Q3,0
AL000000011330S008,2021,other,110.5,Q3,0
AL000000011330S008,2023,other,0,Q1 (fastest),0
ALHUN000010890P109,2022,other,0,Q1 (fastest),0
ALHUN000010890P380,2022,other,0,Q1 (fastest),0
ALJEF0000107300001,2022,other,22,Q2,0
ALJEF0000107300001,2024,other,88,Q2,0
ALJEF0000107300290,2021,other,94.5,Q3,0
ALJEF0000107301037,2016,other,70,Q2,0
ALJEF0000107301044,2023,other,194.5,Q3,0
AR0000000500100008,2021,other,98.5,Q3,0
AR0000000500100008,2023,other,112,Q3,0
AR0000000500300013,2020,other,118,Q3,0
AR0000000500300028,2018,other,70,Q2,0
AR0000000500300065,2018,other,97,Q3,0
AR0000000500300348,2020,other,47.5,Q2,0
AR0000000500500002,2020,other,158,Q3,0
AR0000000500500002,2023,other,403,Q4 (slowest),1
AR0000000500500002,2024,other,309,Q4 (slowest),0
AR0000000500500446,2023,other,83.5,Q2,0
AR0000000500700346,2024,other,60.5,Q2,0
AR0000000500701047,2020,other,103,Q3,0
AR0000000501100004,2016,other,141.5,Q3,0
AR0000000501100014,2021,other,65,Q2,0
AR0000000501300033,2018,other,56.5,Q2,0
AR0000000501300035,2019,other,96,Q3,2
AR0000000501300035,2020,other,134,Q3,1
AR0000000501300035,2021,other,147,Q3,0
AR0000000501300035,2023,other,156,Q3,0
AR0000000501300212,2023,other,94.5,Q3,1
AR0000000501300212,2024,other,109,Q3,0
AR0000000501900004,2020,other,233.5,Q3,0
AR0000000501900070,2017,other,149,Q3,0
AR0000000502300058,2017,other,213,Q3,0
AR0000000502300418,2017,other,87,Q2,0
AR0000000502700008,2018,other,92,Q3,0
AR0000000502700028,2016,other,95,Q3,0
AR0000000502700037,2019,other,147,Q3,0
AR0000000502700037,2022,other,63,Q2,1
AR0000000502700037,2023,other,84,Q2,0
AR0000000502700040,2016,other,220,Q3,0
AR0000000502900001,2022,other,91,Q2,0
AR0000000502900534,2017,other,88.5,Q2,0
AR0000000502900604,2021,other,99,Q3,0
AR0000000502900640,2018,other,77,Q2,0
AR0000000503100101,2016,other,269,Q4 (slowest),1
AR0000000503100101,2017,other,77,Q2,0
AR0000000503100222,2019,other,179,Q3,0
AR0000000503300568,2022,other,535,Q4 (slowest),0
AR0000000503301480,2022,other,535,Q4 (slowest),0
AR0000000503500081,2019,other,114,Q3,0
AR0000000503500120,2018,other,119,Q3,0
AR0000000503900058,2018,other,38,Q2,0
AR0000000504100036,2016,other,173.5,Q3,0
AR0000000504100079,2019,other,73.5,Q2,0
AR0000000504100079,2024,other,142,Q3,0
AR0000000504300007,2017,other,96,Q3,0
AR0000000504300007,2022,other,137.5,Q3,0
AR0000000504300057,2023,other,59.5,Q2,0
AR0000000504300392,2021,other,74,Q2,0
AR0000000504300392,2023,other,132.5,Q3,0
AR0000000504500969,2021,other,178,Q3,0
AR0000000504501010,2023,other,60,Q2,0
AR0000000504501027,2019,other,193,Q3,0
AR0000000504700071,2018,other,130,Q3,0
AR0000000504700524,2022,other,535,Q4 (slowest),0
AR0000000505100234,2023,other,0,Q1 (fastest),0
AR0000000505100273,2023,other,113,Q3,0
AR0000000505100375,2023,other,364,Q4 (slowest),0
AR0000000505300002,2023,other,78.5,Q2,0
AR0000000505300008,2017,other,131.5,Q3,0
AR0000000505300008,2023,other,133,Q3,0
AR0000000505500060,2022,electric,65.5,Q2,0
AR0000000505700016,2022,other,38.5,Q2,0
AR0000000505700506,2022,electric,165,Q3,0
AR0000000505700506,2024,electric,182.5,Q3,0
AR0000000505900008,2018,other,48.5,Q2,0
AR0000000505900008,2020,other,152.5,Q3,0
AR0000000505900008,2024,other,182.5,Q3,0
AR0000000505900015,2018,other,209,Q3,0
AR0000000505900015,2023,other,232,Q3,0
AR0000000505900030,2023,other,380,Q4 (slowest),0
AR0000000505900084,2016,other,250,Q3,2
AR0000000505900084,2017,other,122.5,Q3,1
AR0000000505900084,2018,other,93,Q3,1
AR0000000505900084,2019,other,155,Q3,0
AR0000000506100010,2016,other,20,Q2,0
AR0000000506100010,2024,other,386,Q4 (slowest),0
AR0000000506100016,2017,other,15,Q2,0
AR0000000506100107,2021,other,49,Q2,0
AR0000000506300295,2023,other,79,Q2,0
AR0000000506500013,2017,other,115,Q3,0
AR0000000506500013,2019,other,136,Q3,0
AR0000000506900016,2021,other,60,Q2,0
AR0000000506900016,2024,other,220,Q3,0
AR0000000506900017,2016,other,407,Q4 (slowest),0
AR0000000506900017,2023,other,235,Q3,1
AR0000000506900017,2024,other,180,Q3,0
AR0000000506900025,2019,other,158.5,Q3,0
AR0000000506900110,2017,electric,460,Q4 (slowest),0
AR0000000506900116,2019,other,464,Q4 (slowest),0
AR0000000506900116,2021,other,129,Q3,0
AR0000000506900187,2016,other,362,Q4 (slowest),0
AR0000000506901477,2018,other,14,Q1 (fastest),2
AR0000000506901477,2019,other,153.33,Q3,0
AR0000000506901477,2022,other,240.5,Q3,0
AR0000000507100426,2019,other,130,Q3,0
AR0000000507100498,2018,other,90,Q2,0
AR0000000507700023,2016,other,866,Q4 (slowest),0
AR0000000508100001,2018,other,148,Q3,0
AR0000000508100001,2021,other,231,Q3,2
AR0000000508100001,2022,other,80.33,Q2,0
AR0000000508100002,2021,other,68.5,Q2,0
AR0000000508500024,2023,other,132.33,Q3,0
AR0000000508900008,2017,other,102,Q3,0
AR0000000508900008,2019,other,205.5,Q3,0
AR0000000508900251,2022,other,54.5,Q2,0
AR0000000509100005,2020,other,21,Q2,0
AR0000000509100005,2023,other,226,Q3,0
AR0000000509100985,2020,other,177,Q3,1
AR0000000509100985,2021,other,92.5,Q3,0
AR0000000509100985,2023,other,153,Q3,0
AR0000000509300115,2023,other,117.5,Q3,0
AR0000000509300202,2019,other,153,Q3,0
AR0000000509300202,2024,other,189.5,Q3,0
AR0000000509300233,2023,other,0,Q1 (fastest),0
AR0000000509300251,2022,other,0,Q1 (fastest),0
AR0000000509300461,2019,electric,87,Q3,1
AR0000000509300461,2020,electric,81,Q2,0
AR0000000509300461,2022,electric,56,Q2,0
AR0000000509300991,2017,other,339.5,Q4 (slowest),0
AR0000000509300991,2023,other,128.5,Q3,0
AR0000000509900006,2017,other,134.5,Q3,0
AR0000000510300035,2017,other,165,Q3,1
AR0000000510300035,2018,other,93.5,Q3,0
AR0000000510300035,2020,other,86,Q2,0
AR0000000510300035,2022,other,80,Q2,0
AR0000000510700081,2017,other,215,Q3,0
AR0000000511500003,2023,other,154,Q3,1
AR0000000511500003,2024,other,390,Q4 (slowest),0
AR0000000511500014,2020,other,84,Q2,0
AR0000000511500145,2023,other,50,Q2,0
AR0000000511500272,2017,other,135,Q3,0
AR0000000511500272,2019,other,128.5,Q3,1
AR0000000511500272,2020,other,143.5,Q3,0
AR0000000511500582,2016,other,207,Q3,0
AR0000000511500891,2024,other,0,Q1 (fastest),0
AR0000000511700036,2024,other,131,Q3,0
AR0000000511900003,2018,other,70.5,Q2,0
AR0000000511900004,2018,other,105,Q3,0
AR0000000511900004,2021,other,42,Q2,0
AR0000000511900065,2024,other,145.5,Q3,0
AR0000000511900302,2020,other,100,Q3,0
AR0000000511900781,2018,other,90,Q2,0
AR0000000511900781,2021,other,93,Q3,0
AR0000000511900915,2023,other,163.5,Q3,0
AR0000000511900923,2019,other,137,Q3,1
AR0000000511900923,2020,other,57,Q2,0
AR0000000511901071,2018,other,0,Q1 (fastest),0
AR0000000511901071,2023,other,154,Q3,0
AR0000000511901801,2017,other,320,Q4 (slowest),0
AR0000000511901801,2023,other,200.5,Q3,0
AR0000000511904184,2019,other,307,Q4 (slowest),0
AR0000000511904199,2018,other,75.5,Q2,0
AR0000000511904884,2024,other,117,Q3,0
AR0000000512500010,2017,other,72,Q2,0
AR0000000512500011,2018,other,88,Q2,0
AR0000000513100212,2016,other,83.5,Q2,0
AR0000000513100219,2023,other,207,Q3,0
AR0000000513100274,2017,other,124,Q3,0
AR0000000513100274,2021,other,102,Q3,1
AR0000000513100274,2022,other,48.5,Q2,0
AR0000000513100435,2022,other,282,Q4 (slowest),0
AR0000000513100447,2019,other,210,Q3,1
AR0000000513100447,2020,other,139,Q3,0
AR0000000513101570,2022,other,535,Q4 (slowest),0
AR0000000513101571,2022,other,535,Q4 (slowest),0
AR0000000513101573,2022,other,535,Q4 (slowest),0
AR0000000513101578,2022,other,535,Q4 (slowest),0
AR0000000513101716,2022,other,535,Q4 (slowest),0
AR0000000513101901,2022,other,535,Q4 (slowest),0
AR0000000513101918,2022,other,535,Q4 (slowest),0
AR0000000513101921,2022,other,535,Q4 (slowest),0
AR0000000513101922,2022,other,535,Q4 (slowest),0
AR0000000513101923,2022,other,535,Q4 (slowest),0
AR0000000513900012,2017,other,132.5,Q3,0
AR0000000513900012,2019,other,131,Q3,0
AR0000000513900012,2021,other,175,Q3,1
AR0000000513900012,2022,other,329,Q4 (slowest),1
AR0000000513900012,2023,other,195,Q3,1
AR0000000513900012,2024,other,190.5,Q3,0
AR0000000513900016,2019,other,0,Q1 (fastest),0
AR0000000513900016,2021,other,173,Q3,0
AR0000000513900016,2024,other,146.5,Q3,0
AR0000000513900032,2022,other,124.5,Q3,0
AR0000000513900037,2020,other,147,Q3,0
AR0000000513900037,2022,other,203.33,Q3,0
AR0000000513900037,2024,other,155.5,Q3,0
AR0000000513900039,2018,other,114.5,Q3,0
AR0000000513900039,2020,other,167.5,Q3,0
AR0000000513900039,2024,other,208,Q3,0
AR0000000513900040,2017,other,761.33,Q4 (slowest),1
AR0000000513900040,2018,other,81,Q2,1
AR0000000513900040,2019,other,223,Q3,0
AR0000000513900040,2023,other,279,Q4 (slowest),1
AR0000000513900040,2024,other,187,Q3,0
AR0000000513900098,2016,other,129,Q3,1
AR0000000513900098,2017,other,215,Q3,0
AR0000000513900098,2020,other,342,Q4 (slowest),0
AR0000000513900098,2024,other,298,Q4 (slowest),0
AR0000000513900103,2017,other,189.5,Q3,0
AR0000000513900103,2024,other,172.5,Q3,0
AR0000000513900473,2020,other,62.5,Q2,0
AR0000000513900480,2019,other,122.5,Q3,1
AR0000000513900480,2020,other,405,Q4 (slowest),1
AR0000000513900480,2021,other,146.5,Q3,0
AR0000000513900480,2023,other,148,Q3,0
AR0000000514100315,2018,other,80,Q2,0
AR0000000514100347,2019,other,112.5,Q3,0
AR0000000514100414,2018,other,147,Q3,0
AR0000000514100472,2019,other,62,Q2,0
AR0000000514100478,2019,other,49,Q2,0
AR0000000514300026,2019,other,134.5,Q3,0
AR0000000514300269,2023,other,126,Q3,0
AR0000000514500104,2021,other,133,Q3,0
AR0000000514500104,2024,other,182.5,Q3,1
AR0000000514500110,2022,other,155.5,Q3,0
AR0000000514500767,2020,other,50,Q2,0
AR0000000514500787,2022,other,90,Q2,0
AR0000000514500787,2024,other,168.5,Q3,0
AR0000000514501088,2017,other,106,Q3,0
AR0000000514501102,2017,other,110,Q3,0
AR0000000514501102,2023,other,301,Q4 (slowest),0
AR0000000514900009,2019,other,63.5,Q2,0
AR0000000577700334,2019,other,73,Q2,0
AR0000000577700342,2017,other,242,Q3,0
AR0000000577700342,2021,other,138.5,Q3,0
AR0000000577700565,2023,other,139.5,Q3,0
AR0000000577700881,2020,other,129.5,Q3,0
AR0000000577700906,2020,other,82.5,Q2,0
AR0000000577700986,2019,other,483,Q4 (slowest),0
AR0000000577701001,2021,other,91.5,Q3,0
AR0000000577701353,2023,other,121,Q3,0
AR0000000577701514,2019,other,107,Q3,0
AR0000000577701566,2019,other,0,Q1 (fastest),0
AR0000000577701581,2020,other,104.5,Q3,0
AR0000000577701598,2023,other,171.5,Q3,0
AR0000000577701601,2021,other,72,Q2,0
AR0000000577701629,2024,other,192,Q3,0
AR0000000577701631,2023,other,133,Q3,0
AR0000000577701645,2024,other,0,Q1 (fastest),0
AR0000000577701660,2023,other,77.5,Q2,0
AZ00000004015Z0273,2016,other,0,Q1 (fastest),1
AZ00000004015Z0273,2017,other,1,Q1 (fastest),0
AZ00000004015Z2455,2017,other,3,Q1 (fastest),0
AZ00000004025Z2464,2016,other,5,Q1 (fastest),0
AZMCA000000F000447,2024,other,76,Q2,1
AZMCA000000F006261,2024,other,5,Q1 (fastest),0
AZMCA000000F006370,2024,other,4,Q1 (fastest),0
AZMCA000000F043752,2023,other,0,Q1 (fastest),1
AZMCA000000F043752,2024,other,6,Q1 (fastest),1
AZMCA004013X000353,2022,other,13,Q1 (fastest),0
AZMCA004013X000354,2024,other,6,Q1 (fastest),1
AZMCA004013X000355,2023,other,62,Q2,0
AZMCA004013X000777,2022,other,20,Q2,0
AZMCA004013X000777,2024,other,1,Q1 (fastest),1
AZMCA004013X001210,2023,other,0,Q1 (fastest),1
AZMCA004013X001210,2024,other,1,Q1 (fastest),2
AZMCA004013X001248,2024,other,8,Q1 (fastest),1
AZMCA004013X001398,2022,other,24,Q2,1
AZMCA004013X001398,2023,other,4,Q1 (fastest),0
AZMCA004013X003313,2022,electric,44.33,Q2,0
AZMCA004013X003315,2022,electric,12,Q2,2
AZMCA004013X003315,2023,electric,17.75,Q2,3
AZMCA004013X003315,2024,electric,6.4,Q1 (fastest),0
AZMCA004013X003316,2023,electric,11.67,Q2,0
AZMCA004013X003317,2022,electric,1,Q1 (fastest),1
AZMCA004013X003317,2023,electric,3.5,Q1 (fastest),0
AZMCA004013X003953,2023,other,1,Q1 (fastest),0
AZMCA004013X003966,2023,other,1,Q1 (fastest),0
AZMCA004013X004173,2024,other,0,Q1 (fastest),0
AZMCA004013X004175,2022,other,11,Q1 (fastest),1
AZMCA004013X004175,2023,other,9,Q1 (fastest),0
AZMCA004013X004400,2024,other,0,Q1 (fastest),0
AZMCA004013X020706,2023,other,54.5,Q2,2
AZMCA004013X020706,2024,other,23.67,Q2,1
AZMCA004013X031643,2022,other,0,Q1 (fastest),0
AZMCA004013X034197,2024,other,0,Q1 (fastest),0
AZMCA004013X043063,2024,electric,0,Q1 (fastest),1
AZMCA004013X043530,2022,electric,7,Q1 (fastest),1
AZMCA004013X043530,2023,electric,3,Q1 (fastest),3
AZMCA004013X043530,2024,electric,10.33,Q2,2
AZMCA004013X044186,2022,electric,8,Q2,0
AZMCA004013X044186,2024,electric,9.5,Q2,1
AZMCA004013X044439,2022,electric,5,Q1 (fastest),0
AZMCA004013X044439,2024,electric,9,Q2,2
AZMCA004013X052382,2022,electric,6.5,Q1 (fastest),0
AZMCA004013X052382,2024,electric,16.5,Q2,0
AZMCA004013X107758,2024,other,22,Q2,0
AZMCA004013X127771,2022,other,111.5,Q3,0
AZMCA004013X127771,2024,other,49.2,Q2,0
AZMCA004013X129409,2023,electric,2,Q1 (fastest),0
AZMCA004013X132941,2024,other,0,Q1 (fastest),0
AZMCA004013X136561,2023,other,0,Q1 (fastest),0
AZMCA004013X137143,2023,other,2,Q1 (fastest),0
AZMCA004013X138045,2024,other,0,Q1 (fastest),1
AZMCA004013X138847,2023,other,0,Q1 (fastest),1
AZMCA004013X138847,2024,other,3,Q1 (fastest),1
CABAA00006001A0059,2020,other,427.5,Q4 (slowest),3
CABAA00006001A0059,2021,other,205.67,Q3,0
CABAA00006001A0059,2023,other,219,Q3,0
CABAA00006001A0062,2016,other,195.5,Q3,0
CABAA00006001A0062,2018,other,503.2,Q4 (slowest),3
CABAA00006001A0062,2019,other,350.33,Q4 (slowest),0
CABAA00006001A0062,2021,other,0,Q1 (fastest),0
CABAA00006001A0083,2024,other,0,Q1 (fastest),2
CABAA00006001A0591,2016,electric,181,Q3,2
CABAA00006001A0591,2017,electric,349,Q4 (slowest),3
CABAA00006001A0591,2018,electric,312.8,Q4 (slowest),1
CABAA00006001A0591,2019,electric,190,Q3,0
CABAA00006001A0591,2021,electric,455.5,Q4 (slowest),0
CABAA00006001A0591,2023,electric,107.5,Q3,1
CABAA00006001A0591,2024,electric,0,Q1 (fastest),1
CABAA00006001A0595,2020,other,358.5,Q4 (slowest),1
CABAA00006001A0595,2021,other,0,Q1 (fastest),1
CABAA00006001A0595,2022,other,208,Q3,0
CABAA00006001A1438,2019,other,0,Q1 (fastest),4
CABAA00006001A1438,2020,other,0,Q1 (fastest),13
CABAA00006001A1438,2021,other,5,Q1 (fastest),27
CABAA00006001A1438,2022,other,0,Q1 (fastest),88
CABAA00006001A1438,2023,other,0,Q1 (fastest),113
CABAA00006001A1438,2024,other,0.01,Q1 (fastest),59
CABAA00006001A2066,2018,electric,652,Q4 (slowest),0
CABAA00006001A2066,2023,electric,272,Q4 (slowest),1
CABAA00006001A2066,2024,electric,0,Q1 (fastest),2
CABAA00006001A2246,2021,other,0,Q1 (fastest),0
CABAA00006001A5095,2019,other,414.17,Q4 (slowest),0
CABAA00006001A5095,2023,other,0,Q1 (fastest),1
CABAA00006001A5095,2024,other,0,Q1 (fastest),6
CABAA00006001B1887,2020,electric,477,Q4 (slowest),0
CABAA00006001B1887,2022,electric,134,Q3,0
CABAA00006013A0010,2016,other,367.25,Q4 (slowest),34
CABAA00006013A0010,2017,other,304.09,Q4 (slowest),46
CABAA00006013A0010,2018,other,385.3,Q4 (slowest),18
CABAA00006013A0010,2019,other,436.47,Q4 (slowest),26
CABAA00006013A0010,2020,other,81.71,Q2,116
CABAA00006013A0010,2021,other,51.82,Q2,134
CABAA00006013A0010,2022,other,0.45,Q1 (fastest),277
CABAA00006013A0010,2023,other,2.34,Q1 (fastest),63
CABAA00006013A0010,2024,other,2.67,Q1 (fastest),149
CABAA00006013A0011,2016,other,378.4,Q4 (slowest),8
CABAA00006013A0011,2017,other,693.12,Q4 (slowest),0
CABAA00006013A0011,2019,other,0,Q1 (fastest),0
CABAA00006013A0011,2021,other,7.67,Q1 (fastest),57
CABAA00006013A0011,2022,other,29.89,Q2,28
CABAA00006013A0011,2023,other,29.83,Q2,42
CABAA00006013A0011,2024,other,0,Q1 (fastest),40
CABAA00006013A0016,2018,other,0,Q1 (fastest),24
CABAA00006013A0016,2019,other,0.38,Q1 (fastest),0
CABAA00006013A0016,2021,other,0,Q1 (fastest),48
CABAA00006013A0016,2022,other,0,Q1 (fastest),26
CABAA00006013A0016,2023,other,0,Q1 (fastest),35
CABAA00006013A0016,2024,other,0,Q1 (fastest),27
CABAA00006013A0022,2019,other,0,Q1 (fastest),0
CABAA00006013A0022,2022,other,0,Q1 (fastest),3
CABAA00006013A0022,2023,other,0,Q1 (fastest),0
CABAA00006013A0227,2016,other,305.5,Q4 (slowest),1
CABAA00006013A0227,2017,other,116,Q3,0
CABAA00006013A0227,2022,other,567.67,Q4 (slowest),0
CABAA00006013A0581,2017,other,318.5,Q4 (slowest),0
